,unit,date,total_production,vnem_btm
0,B-02,2023-10-30,7.805,BTM-PV
1,B-02,2023-10-31,7.359,BTM-PV
2,B-02,2023-11-01,7.2059999999999995,BTM-PV
3,B-02,2023-11-02,6.945,BTM-PV
4,B-02,2023-11-03,6.765,BTM-PV
5,B-02,2023-11-04,6.641,BTM-PV
6,B-02,2023-11-05,6.02,BTM-PV
7,B-02,2023-11-06,6.183,BTM-PV
8,B-02,2023-11-07,5.446,BTM-PV
9,B-02,2023-11-08,4.966,BTM-PV
10,B-02,2023-11-09,6.0920000000000005,BTM-PV
11,B-02,2023-11-10,6.29,BTM-PV
12,B-02,2023-11-11,5.897,BTM-PV
13,B-02,2023-11-12,5.637,BTM-PV
14,B-02,2023-11-13,5.485,BTM-PV
15,B-02,2023-11-14,5.4239999999999995,BTM-PV
16,B-02,2023-11-15,2.6929999999999996,BTM-PV
17,B-02,2023-11-16,5.789,BTM-PV
18,B-02,2023-11-17,6.0120000000000005,BTM-PV
19,B-02,2023-11-18,5.813,BTM-PV
20,B-02,2023-11-19,5.924,BTM-PV
21,B-02,2023-11-20,5.9399999999999995,BTM-PV
22,B-02,2023-11-21,5.609,BTM-PV
23,B-02,2023-11-22,5.291,BTM-PV
24,B-02,2023-11-23,5.114,BTM-PV
25,B-02,2023-11-24,5.026,BTM-PV
26,B-02,2023-11-25,5.675,BTM-PV
27,B-02,2023-11-26,5.839,BTM-PV
28,B-02,2023-11-27,5.418,BTM-PV
29,B-02,2023-11-28,4.92,BTM-PV
30,B-02,2023-11-29,4.873,BTM-PV
31,B-02,2023-11-30,4.994,BTM-PV
32,B-02,2023-12-01,4.793,BTM-PV
33,B-02,2023-12-02,4.814,BTM-PV
34,B-02,2023-12-03,4.465,BTM-PV
35,B-02,2023-12-04,4.4719999999999995,BTM-PV
36,B-02,2023-12-05,4.24,BTM-PV
37,B-02,2023-12-06,4.19,BTM-PV
38,B-02,2023-12-07,4.299,BTM-PV
39,B-02,2023-12-08,4.548,BTM-PV
40,B-02,2023-12-09,4.223,BTM-PV
41,B-02,2023-12-10,4.529,BTM-PV
42,B-02,2023-12-11,2.694,BTM-PV
43,B-02,2023-12-12,3.993,BTM-PV
44,B-02,2023-12-13,3.963,BTM-PV
45,B-02,2023-12-14,4.146,BTM-PV
46,B-02,2023-12-15,4.152,BTM-PV
47,B-02,2023-12-16,3.903,BTM-PV
48,B-02,2023-12-17,4.777,BTM-PV
49,B-02,2023-12-18,3.384,BTM-PV
50,B-02,2023-12-19,3.595,BTM-PV
51,B-02,2023-12-20,3.975,BTM-PV
52,B-02,2023-12-21,4.17,BTM-PV
53,B-02,2023-12-22,3.213,BTM-PV
54,B-02,2023-12-23,5.071,BTM-PV
55,B-02,2023-12-24,4.217,BTM-PV
56,B-02,2023-12-25,4.139,BTM-PV
57,B-02,2023-12-26,4.617,BTM-PV
58,B-02,2023-12-27,4.768,BTM-PV
59,B-02,2023-12-28,4.191,BTM-PV
60,B-02,2023-12-29,5.109,BTM-PV
61,B-02,2023-12-30,3.867,BTM-PV
62,B-02,2023-12-31,3.298,BTM-PV
63,B-04,2023-10-30,8.955,BTM-PV
64,B-04,2023-10-31,8.811,BTM-PV
65,B-04,2023-11-01,8.562,BTM-PV
66,B-04,2023-11-02,8.435,BTM-PV
67,B-04,2023-11-03,8.25,BTM-PV
68,B-04,2023-11-04,8.006,BTM-PV
69,B-04,2023-11-05,7.5809999999999995,BTM-PV
70,B-04,2023-11-06,7.845,BTM-PV
71,B-04,2023-11-07,6.318,BTM-PV
72,B-04,2023-11-08,6.5409999999999995,BTM-PV
73,B-04,2023-11-09,7.956,BTM-PV
74,B-04,2023-11-10,7.293,BTM-PV
75,B-04,2023-11-11,7.6979999999999995,BTM-PV
76,B-04,2023-11-12,7.6259999999999994,BTM-PV
77,B-04,2023-11-13,5.976,BTM-PV
78,B-04,2023-11-14,7.3069999999999995,BTM-PV
79,B-04,2023-11-15,3.287,BTM-PV
80,B-04,2023-11-16,7.868,BTM-PV
81,B-04,2023-11-17,7.816,BTM-PV
82,B-04,2023-11-18,7.708,BTM-PV
83,B-04,2023-11-19,7.843,BTM-PV
84,B-04,2023-11-20,7.94,BTM-PV
85,B-04,2023-11-21,7.731,BTM-PV
86,B-04,2023-11-22,7.6659999999999995,BTM-PV
87,B-04,2023-11-23,6.375,BTM-PV
88,B-04,2023-11-24,8.328,BTM-PV
89,B-04,2023-11-25,7.6579999999999995,BTM-PV
90,B-04,2023-11-26,7.0600000000000005,BTM-PV
91,B-04,2023-11-27,7.7379999999999995,BTM-PV
92,B-04,2023-11-28,6.9559999999999995,BTM-PV
93,B-04,2023-11-29,6.929,BTM-PV
94,B-04,2023-11-30,5.567,BTM-PV
