,unit,date,total_production,vnem_btm
0,A-101,2024-01-01,5.074961111111111,BTM-PVBESS
1,A-101,2024-01-02,6.941037777777778,BTM-PVBESS
2,A-101,2024-01-03,2.719001111111111,BTM-PVBESS
3,A-101,2024-01-04,9.356001111111112,BTM-PVBESS
4,A-101,2024-01-05,8.31428,BTM-PVBESS
5,A-101,2024-01-06,11.963,BTM-PVBESS
6,A-101,2024-01-07,12.297,BTM-PVBESS
7,A-101,2024-01-08,12.165,BTM-PVBESS
8,A-101,2024-01-09,11.837,BTM-PVBESS
9,A-101,2024-01-10,8.607000000000001,BTM-PVBESS
10,A-101,2024-01-11,11.884,BTM-PVBESS
11,A-101,2024-01-12,12.286717777777778,BTM-PVBESS
12,A-101,2024-01-13,11.660001111111113,BTM-PVBESS
13,A-101,2024-01-14,11.72128111111111,BTM-PVBESS
14,A-101,2024-01-15,12.091999999999999,BTM-PVBESS
15,A-101,2024-01-16,10.744,BTM-PVBESS
16,A-101,2024-01-17,8.74377570921986,BTM-PVBESS
17,A-101,2024-01-18,11.127943179669032,BTM-PVBESS
18,A-101,2024-01-19,9.78528111111111,BTM-PVBESS
19,A-101,2024-01-20,1.711,BTM-PVBESS
20,A-101,2024-01-21,6.119718888888889,BTM-PVBESS
21,A-101,2024-01-22,2.043281111111111,BTM-PVBESS
22,A-101,2024-01-23,10.698,BTM-PVBESS
23,A-101,2024-01-24,6.182718888888889,BTM-PVBESS
24,A-101,2024-01-25,8.464,BTM-PVBESS
25,A-101,2024-01-26,13.73128111111111,BTM-PVBESS
26,A-101,2024-01-27,13.046717777777777,BTM-PVBESS
27,A-101,2024-01-28,12.969999999999999,BTM-PVBESS
28,A-101,2024-01-29,14.279282222222221,BTM-PVBESS
29,A-101,2024-01-30,14.202718888888889,BTM-PVBESS
30,A-101,2024-01-31,11.561998888888889,BTM-PVBESS
31,A-101,2024-02-01,4.290001111111111,BTM-PVBESS
32,A-101,2024-02-02,4.319000311999013,BTM-PVBESS
33,A-101,2024-02-03,11.386999688000987,BTM-PVBESS
34,A-101,2024-02-04,13.802999999999999,BTM-PVBESS
35,A-101,2024-02-05,2.19,BTM-PVBESS
36,A-101,2024-02-06,3.018281111111111,BTM-PVBESS
37,A-101,2024-02-07,8.06272,BTM-PVBESS
38,A-101,2024-02-08,7.578998888888889,BTM-PVBESS
39,A-101,2024-02-09,12.316281111111111,BTM-PVBESS
40,A-101,2024-02-10,15.065718888888888,BTM-PVBESS
41,A-101,2024-02-11,16.56728111111111,BTM-PVBESS
42,A-101,2024-02-12,16.459,BTM-PVBESS
43,A-101,2024-02-13,16.451718888888887,BTM-PVBESS
44,A-101,2024-02-14,17.075,BTM-PVBESS
45,A-101,2024-02-15,15.409281111111111,BTM-PVBESS
46,A-101,2024-02-16,19.838,BTM-PVBESS
47,A-101,2024-02-17,14.217,BTM-PVBESS
48,A-101,2024-02-18,17.19471888888889,BTM-PVBESS
49,A-101,2024-02-19,5.386281111111111,BTM-PVBESS
50,A-101,2024-02-20,3.378,BTM-PVBESS
51,A-101,2024-02-21,11.609,BTM-PVBESS
52,A-101,2024-02-22,18.759,BTM-PVBESS
53,A-101,2024-02-23,16.023,BTM-PVBESS
54,A-101,2024-02-24,12.236,BTM-PVBESS
55,A-101,2024-02-25,13.052999999999999,BTM-PVBESS
56,A-101,2024-02-26,7.357,BTM-PVBESS
57,A-101,2024-02-27,10.926,BTM-PVBESS
58,A-101,2024-02-28,18.932000000000002,BTM-PVBESS
59,A-101,2024-02-29,9.152000000000001,BTM-PVBESS
60,A-101,2024-03-01,11.478,BTM-PVBESS
61,A-101,2024-03-02,4.900718888888889,BTM-PVBESS
