,unit,date,total_production,vnem_btm
0,A-101,2023-12-15,7.624428888888889,BTM-PVBESS
1,A-101,2023-12-16,12.165192222222222,BTM-PVBESS
2,A-101,2023-12-17,8.286267777777779,BTM-PVBESS
3,A-101,2023-12-18,4.885613333333334,BTM-PVBESS
4,A-101,2023-12-19,3.0222166666666666,BTM-PVBESS
5,A-101,2023-12-20,4.227741111111111,BTM-PVBESS
6,A-101,2023-12-21,4.928257777777778,BTM-PVBESS
7,A-101,2023-12-22,2.997,BTM-PVBESS
8,A-101,2023-12-23,5.8778822222222225,BTM-PVBESS
9,A-101,2023-12-24,3.363436666666667,BTM-PVBESS
10,A-101,2023-12-25,8.525156666666666,BTM-PVBESS
11,A-101,2023-12-26,7.758288888888889,BTM-PVBESS
12,A-101,2023-12-27,12.861934444444444,BTM-PVBESS
13,A-101,2023-12-28,5.123594444444445,BTM-PVBESS
14,A-101,2023-12-29,7.32614,BTM-PVBESS
15,A-101,2023-12-30,7.572565555555555,BTM-PVBESS
16,A-101,2023-12-31,6.061002222222222,BTM-PVBESS
17,A-104,2023-12-20,2.316,BTM-PVBESS
18,A-104,2023-12-21,4.325,BTM-PVBESS
19,A-104,2023-12-22,3.348,BTM-PVBESS
20,A-104,2023-12-23,6.226,BTM-PVBESS
21,A-104,2023-12-24,6.07,BTM-PVBESS
22,A-104,2023-12-25,6.413,BTM-PVBESS
23,A-104,2023-12-26,5.615,BTM-PVBESS
24,A-104,2023-12-27,6.253,BTM-PVBESS
25,A-104,2023-12-28,6.495,BTM-PVBESS
26,A-104,2023-12-29,6.297,BTM-PVBESS
27,A-104,2023-12-30,3.5789999999999997,BTM-PVBESS
28,A-104,2023-12-31,5.5489999999999995,BTM-PVBESS
29,A-106,2023-12-17,0.593,BTM-PVBESS
30,A-106,2023-12-18,0.7040000000000001,BTM-PVBESS
31,A-106,2023-12-19,0.909,BTM-PVBESS
32,A-106,2023-12-20,0.0,BTM-PVBESS
33,A-106,2023-12-21,0.003,BTM-PVBESS
34,A-106,2023-12-22,1.367,BTM-PVBESS
35,A-106,2023-12-23,1.7859999999999998,BTM-PVBESS
36,A-106,2023-12-24,0.743,BTM-PVBESS
37,A-106,2023-12-25,0.76,BTM-PVBESS
38,A-106,2023-12-26,2.1390000000000002,BTM-PVBESS
39,A-106,2023-12-27,1.4849999999999999,BTM-PVBESS
40,A-106,2023-12-28,0.5149744444444444,BTM-PVBESS
41,A-106,2023-12-29,2.5080255555555557,BTM-PVBESS
42,A-106,2023-12-30,1.1859755555555556,BTM-PVBESS
43,A-106,2023-12-31,2.0819977777777776,BTM-PVBESS
44,A-202,2023-12-15,2.245,BTM-PVBESS
45,A-202,2023-12-16,3.8770000000000002,BTM-PVBESS
46,A-202,2023-12-17,5.662,BTM-PVBESS
47,A-202,2023-12-18,5.547,BTM-PVBESS
48,A-202,2023-12-19,4.082,BTM-PVBESS
49,A-202,2023-12-20,7.373,BTM-PVBESS
50,A-202,2023-12-21,6.998,BTM-PVBESS
51,A-202,2023-12-22,4.207,BTM-PVBESS
52,A-202,2023-12-23,9.052,BTM-PVBESS
53,A-202,2023-12-24,10.023,BTM-PVBESS
54,A-202,2023-12-25,10.588000000000001,BTM-PVBESS
55,A-202,2023-12-26,7.769,BTM-PVBESS
56,A-202,2023-12-27,9.832,BTM-PVBESS
57,A-202,2023-12-28,10.906,BTM-PVBESS
58,A-202,2023-12-29,8.931,BTM-PVBESS
59,A-202,2023-12-30,3.821,BTM-PVBESS
60,A-202,2023-12-31,7.083,BTM-PVBESS
61,A-203,2023-12-20,7.408,BTM-PVBESS
62,A-203,2023-12-21,7.117,BTM-PVBESS
63,A-203,2023-12-22,4.462000000000001,BTM-PVBESS
64,A-203,2023-12-23,9.434,BTM-PVBESS
65,A-203,2023-12-24,10.456,BTM-PVBESS
66,A-203,2023-12-25,11.145,BTM-PVBESS
67,A-203,2023-12-26,8.045,BTM-PVBESS
68,A-203,2023-12-27,10.103,BTM-PVBESS
69,A-203,2023-12-28,11.532,BTM-PVBESS
70,A-203,2023-12-29,9.162,BTM-PVBESS
71,A-203,2023-12-30,3.9909999999999997,BTM-PVBESS
72,A-203,2023-12-31,7.236,BTM-PVBESS
73,A-205,2023-12-16,10.870033333333334,BTM-PVBESS
74,A-205,2023-12-17,8.062966666666666,BTM-PVBESS
75,A-205,2023-12-18,5.387,BTM-PVBESS
76,A-205,2023-12-19,3.645,BTM-PVBESS
77,A-205,2023-12-20,6.313,BTM-PVBESS
78,A-205,2023-12-21,6.474,BTM-PVBESS
79,A-205,2023-12-22,3.6350000000000002,BTM-PVBESS
80,A-205,2023-12-23,7.505000000000001,BTM-PVBESS
81,A-205,2023-12-24,9.293,BTM-PVBESS
82,A-205,2023-12-25,9.415,BTM-PVBESS
83,A-205,2023-12-26,7.0120000000000005,BTM-PVBESS
84,A-205,2023-12-27,8.749,BTM-PVBESS
85,A-205,2023-12-28,8.522177777777777,BTM-PVBESS
86,A-205,2023-12-29,8.635861111111112,BTM-PVBESS
87,A-205,2023-12-30,4.289961111111111,BTM-PVBESS
88,A-205,2023-12-31,5.882,BTM-PVBESS
89,C-101,2023-12-15,2.3208666666666664,BTM-PVBESS
90,C-101,2023-12-16,2.9971533333333333,BTM-PVBESS
91,C-101,2023-12-17,4.8097199999999996,BTM-PVBESS
92,C-101,2023-12-18,4.2307677777777775,BTM-PVBESS
93,C-101,2023-12-19,4.891868888888889,BTM-PVBESS
94,C-101,2023-12-20,3.40498,BTM-PVBESS
95,C-101,2023-12-21,4.485585555555556,BTM-PVBESS
96,C-101,2023-12-22,4.931132222222223,BTM-PVBESS
97,C-101,2023-12-23,2.8135001658005447,BTM-PVBESS
98,C-101,2023-12-24,5.451005389755011,BTM-PVBESS
99,C-101,2023-12-25,5.544174444444445,BTM-PVBESS
100,C-101,2023-12-26,7.733945555555556,BTM-PVBESS
101,C-101,2023-12-27,7.098839488320356,BTM-PVBESS
102,C-101,2023-12-28,7.6002966320809815,BTM-PVBESS
103,C-101,2023-12-29,6.7931627684875515,BTM-PVBESS
104,C-101,2023-12-30,5.480236666666666,BTM-PVBESS
105,C-101,2023-12-31,5.378971111111111,BTM-PVBESS
106,C-102,2023-12-15,2.726775167785235,BTM-PVBESS
107,C-102,2023-12-16,8.728984832214765,BTM-PVBESS
108,C-102,2023-12-17,11.751213333333332,BTM-PVBESS
109,C-102,2023-12-18,7.204605555555555,BTM-PVBESS
110,C-102,2023-12-19,4.633496666666667,BTM-PVBESS
111,C-102,2023-12-20,9.640664444444445,BTM-PVBESS
112,C-102,2023-12-21,11.464233333333334,BTM-PVBESS
113,C-102,2023-12-22,5.961313333333333,BTM-PVBESS
114,C-102,2023-12-23,10.289333333333333,BTM-PVBESS
115,C-102,2023-12-24,12.091913333333334,BTM-PVBESS
116,C-102,2023-12-25,12.891146666666666,BTM-PVBESS
117,C-102,2023-12-26,10.665788888888889,BTM-PVBESS
118,C-102,2023-12-27,11.956135555555557,BTM-PVBESS
119,C-102,2023-12-28,14.078706666666667,BTM-PVBESS
120,C-102,2023-12-29,10.504413333333334,BTM-PVBESS
121,C-102,2023-12-30,5.697462222222223,BTM-PVBESS
122,C-102,2023-12-31,6.198474444444445,BTM-PVBESS
123,C-103,2023-12-15,0.0,BTM-PVBESS
124,C-103,2023-12-16,6.438,BTM-PVBESS
125,C-103,2023-12-17,6.9959999999999996,BTM-PVBESS
126,C-103,2023-12-18,5.1129999999999995,BTM-PVBESS
127,C-103,2023-12-19,2.842,BTM-PVBESS
128,C-103,2023-12-20,4.696000000000001,BTM-PVBESS
129,C-103,2023-12-21,4.514,BTM-PVBESS
130,C-103,2023-12-22,3.343,BTM-PVBESS
131,C-103,2023-12-23,6.8309999999999995,BTM-PVBESS
132,C-103,2023-12-24,7.349,BTM-PVBESS
133,C-103,2023-12-25,8.257,BTM-PVBESS
134,C-103,2023-12-26,5.720000000000001,BTM-PVBESS
135,C-103,2023-12-27,7.385,BTM-PVBESS
136,C-103,2023-12-28,8.175,BTM-PVBESS
137,C-103,2023-12-29,6.8309999999999995,BTM-PVBESS
138,C-103,2023-12-30,2.902,BTM-PVBESS
139,C-103,2023-12-31,5.199,BTM-PVBESS
140,C-104,2023-12-16,3.68668,BTM-PVBESS
141,C-104,2023-12-17,6.375536666666667,BTM-PVBESS
142,C-104,2023-12-18,4.133654444444445,BTM-PVBESS
143,C-104,2023-12-19,4.205128888888889,BTM-PVBESS
144,C-104,2023-12-20,2.8154644444444443,BTM-PVBESS
145,C-104,2023-12-21,4.177938888888889,BTM-PVBESS
146,C-104,2023-12-22,3.8595966666666666,BTM-PVBESS
147,C-104,2023-12-23,3.3982222222222225,BTM-PVBESS
148,C-104,2023-12-24,4.93936,BTM-PVBESS
149,C-104,2023-12-25,8.85741111111111,BTM-PVBESS
150,C-104,2023-12-26,4.1616333333333335,BTM-PVBESS
151,C-104,2023-12-27,5.55616,BTM-PVBESS
152,C-104,2023-12-28,6.141931111111111,BTM-PVBESS
153,C-104,2023-12-29,5.6188400000000005,BTM-PVBESS
154,C-104,2023-12-30,4.987788888888889,BTM-PVBESS
155,C-104,2023-12-31,5.7514111111111115,BTM-PVBESS
156,C-105,2023-12-15,1.42,BTM-PVBESS
157,C-105,2023-12-16,8.944233333333333,BTM-PVBESS
158,C-105,2023-12-17,11.370766666666666,BTM-PVBESS
159,C-105,2023-12-18,6.571,BTM-PVBESS
160,C-105,2023-12-19,4.658,BTM-PVBESS
161,C-105,2023-12-20,7.087011111111111,BTM-PVBESS
162,C-105,2023-12-21,8.564338888888889,BTM-PVBESS
163,C-105,2023-12-22,6.92265,BTM-PVBESS
164,C-105,2023-12-23,6.298351111111111,BTM-PVBESS
165,C-105,2023-12-24,12.568808888888888,BTM-PVBESS
166,C-105,2023-12-25,10.867295555555556,BTM-PVBESS
167,C-105,2023-12-26,11.066024444444444,BTM-PVBESS
168,C-105,2023-12-27,11.331826666666668,BTM-PVBESS
169,C-105,2023-12-28,11.967787777777778,BTM-PVBESS
170,C-105,2023-12-29,10.065277777777778,BTM-PVBESS
171,C-105,2023-12-30,7.135627777777778,BTM-PVBESS
172,C-105,2023-12-31,6.6049999999999995,BTM-PVBESS
173,C-106,2023-12-19,7.180624444444445,BTM-PVBESS
174,C-106,2023-12-20,6.277591111111112,BTM-PVBESS
175,C-106,2023-12-21,9.99942888888889,BTM-PVBESS
176,C-106,2023-12-22,8.91598,BTM-PVBESS
177,C-106,2023-12-23,6.58396,BTM-PVBESS
178,C-106,2023-12-24,15.385480000000001,BTM-PVBESS
179,C-106,2023-12-25,13.16409111111111,BTM-PVBESS
180,C-106,2023-12-26,9.670008888888889,BTM-PVBESS
181,C-106,2023-12-27,10.128308888888888,BTM-PVBESS
182,C-106,2023-12-28,16.28059111111111,BTM-PVBESS
183,C-106,2023-12-29,9.011991111111112,BTM-PVBESS
184,C-106,2023-12-30,6.313568888888889,BTM-PVBESS
185,C-106,2023-12-31,7.743,BTM-PVBESS
186,C-201,2023-12-23,6.256413333333334,BTM-PVBESS
187,C-201,2023-12-24,14.30058,BTM-PVBESS
188,C-201,2023-12-25,12.624597322951427,BTM-PVBESS
189,C-201,2023-12-26,9.51109156593746,BTM-PVBESS
190,C-201,2023-12-27,9.928382222222222,BTM-PVBESS
191,C-201,2023-12-28,14.029491111111112,BTM-PVBESS
192,C-201,2023-12-29,12.440035555555555,BTM-PVBESS
193,C-201,2023-12-30,6.86418,BTM-PVBESS
194,C-201,2023-12-31,5.002992222222222,BTM-PVBESS
195,C-203,2023-12-21,1.09897,BTM-PVBESS
196,C-203,2023-12-22,2.08542,BTM-PVBESS
197,C-203,2023-12-23,4.049432222222222,BTM-PVBESS
198,C-203,2023-12-24,5.129557777777777,BTM-PVBESS
199,C-203,2023-12-25,5.23202,BTM-PVBESS
200,C-203,2023-12-26,6.05299,BTM-PVBESS
201,C-203,2023-12-27,4.963,BTM-PVBESS
202,C-203,2023-12-28,4.359402682926829,BTM-PVBESS
203,C-203,2023-12-29,5.775597317073171,BTM-PVBESS
204,C-203,2023-12-30,2.987992907880133,BTM-PVBESS
205,C-203,2023-12-31,4.800017092119867,BTM-PVBESS
206,C-204,2023-12-21,7.140624444444445,BTM-PVBESS
207,C-204,2023-12-22,5.527014444444444,BTM-PVBESS
208,C-204,2023-12-23,9.754595555555555,BTM-PVBESS
209,C-204,2023-12-24,13.580418888888888,BTM-PVBESS
210,C-204,2023-12-25,13.998,BTM-PVBESS
211,C-204,2023-12-26,9.728086666666666,BTM-PVBESS
212,C-204,2023-12-27,15.398873333333333,BTM-PVBESS
213,C-204,2023-12-28,11.933019999999999,BTM-PVBESS
214,C-204,2023-12-29,9.343033333333333,BTM-PVBESS
215,C-204,2023-12-30,4.245015555555556,BTM-PVBESS
216,C-204,2023-12-31,7.790984444444445,BTM-PVBESS
217,C-206,2023-12-21,5.389,BTM-PVBESS
