vnem_btm,name,start,end,gross_kwh_total,net_load,production,gross_bill_non_care,net_bill_non_care,gross_bill_care,net_bill_care,gross_energy_bill_non_care,net_energy_bill_non_care,gross_energy_bill_care,net_energy_bill_care,peak_production
BTM-PVBESS,Modeled,1/1/24,2/1/24,221.6079789,41.31227239,180.2957066,89.09,21.42,60.53,12.68,66.98,-35.72,47.62,-25.35,180.2957066
BTM-PVBESS,Modeled,2/1/24,3/1/24,185.5951398,-1.823895724,187.4190356,75.84,19.38,51.57,11.68,55.79,-50.66,39.66,-35.97,186.5798963
BTM-PVBESS,Modeled,3/1/24,4/1/24,198.1832582,-90.31430484,288.497563,81.66,20.87,55.45,12.67,59.83,-96.98,42.48,-68.79,263.8722671
BTM-PVBESS,Modeled,4/1/24,5/1/24,270.4607798,-84.51977724,354.980557,111.78,21.08,75.91,12.49,88.33,-88.72,62.7,-62.93,280.6212262
BTM-PVBESS,Modeled,5/1/24,6/1/24,308.967904,-92.56846607,401.5363701,124.93,22.17,84.76,13.02,99.83,-95.03,70.87,-67.4,302.3863072
BTM-PVBESS,Modeled,6/1/24,7/1/24,344.3972737,-99.58477372,443.9820474,138.19,22.13,93.89,12.87,112.49,-81.4,79.97,-57.82,310.5942261
BTM-PVBESS,Modeled,7/1/24,8/1/24,803.1892942,365.4547405,437.7345537,295.53,101.04,199.98,64.68,255.85,68.26,181.89,48.57,313.5099534
BTM-PVBESS,Modeled,8/1/24,9/1/24,737.5407896,326.5109322,411.0298573,274.67,81.66,185.97,51.32,236.91,49.86,168.42,35.5,311.399269
BTM-PVBESS,Modeled,9/1/24,10/1/24,352.6882475,77.47089862,275.2173489,136.71,23.63,92.75,13.3,110.76,-17.22,78.74,-12.2,228.8463854
BTM-PVBESS,Modeled,10/1/24,11/1/24,289.2750337,65.33057373,223.9444599,112.32,24.11,76.26,14.01,87.01,-26.69,61.86,-18.93,210.0411344
BTM-PVBESS,Modeled,11/1/24,12/1/24,351.5162388,153.0818583,198.4343805,130.02,25.49,88.07,14.18,103.45,-1.2,73.55,-0.81,198.4343805
BTM-PVBESS,Modeled,12/1/24,1/1/25,483.3486461,312.5871167,170.7615294,171.87,80.48,116.19,51.79,140.91,50.85,100.19,36.19,170.7615294
BTM-PV,Modeled,1/1/24,2/1/24,177.7172736,-54.96235625,232.6796299,59.76,11.6,40.25,10.1326,53.8,-3.73,38.25,-2.664239083,3.606410308
BTM-PV,Modeled,2/1/24,3/1/24,148.8369796,-92.18286975,241.0198494,50.02,10.71,33.69,9.5283,44.95,-15.89,31.96,-11.30863303,10.66333651
BTM-PV,Modeled,3/1/24,4/1/24,158.9319504,-208.9244069,367.8563574,54.01,11.44,36.33,10.20329,48.57,-45.97,34.48,-32.653527,18.34872032
BTM-PV,Modeled,4/1/24,5/1/24,216.8945028,-229.7488099,446.6433127,75.06,11.22,50.54,9.80091,67.91,-48.23,48.21,-34.2619269,26.56430343
BTM-PV,Modeled,5/1/24,6/1/24,247.7750747,-254.8404452,502.6155199,85.33,11.64,57.43,10.11308,77.26,-54.63,54.85,-38.80682857,36.61817453
BTM-PV,Modeled,6/1/24,7/1/24,276.1874587,-276.2758072,552.4632659,96.27,11.42,64.97,9.7188,87.45,-61.04,62.17,-43.41851998,43.07452842
BTM-PV,Modeled,7/1/24,8/1/24,644.1131419,98.34423558,545.7689063,225.19,65.8,152,42.38161983,205.57,54.98,146.14,39.06431983,41.05975863
BTM-PV,Modeled,8/1/24,9/1/24,591.4666924,76.37152974,515.0951627,203.01,57.57,136.89,36.90534774,184.92,47.62,131.46,33.83234774,34.13815196
BTM-PV,Modeled,9/1/24,10/1/24,282.8363586,-65.68992618,348.5262847,96.34,11.57,64.94,9.655,87.33,-3.46,62.09,-2.475650079,12.99731248
BTM-PV,Modeled,10/1/24,11/1/24,231.982488,-55.28146674,287.2639547,76.45,11.82,51.48,10.0398,68.96,-0.43,49.03,-0.321331625,4.423734938
BTM-PV,Modeled,11/1/24,12/1/24,281.8964728,25.46114491,256.4353279,92.08,27.94,61.97,17.56858373,83.17,21.94,59.13,15.58478373,0.757886036
BTM-PV,Modeled,12/1/24,1/1/25,387.6187311,166.8863026,220.7324285,127.79,70.06,86.05,46.44719703,115.78,61.51,82.32,43.72049703,0.110436204
