vnem_btm,name,start,end,gross_kwh_total,net_load,production,gross_bill_non_care,net_bill_non_care,gross_bill_care,net_bill_care,gross_energy_bill_non_care,net_energy_bill_non_care,gross_energy_bill_care,net_energy_bill_care,peak_production
BTM-PVBESS,Modeled,1/1/24,2/1/24,287.726745,-1.488982677,289.3677699,111.04,22.43,75.31,12.95,86.99,-54.13,61.85,-38.43,223.3514127
BTM-PVBESS,Modeled,2/1/24,3/1/24,250.8075637,-164.9450105,415.6917037,97.37,19.8,66.05,11.79,75.4,-99.23,53.61,-70.5,242.3251595
BTM-PVBESS,Modeled,3/1/24,4/1/24,279.8336666,-291.6808982,571.5959983,108.72,21.75,73.62,12.9,84.47,-137.87,59.97,-97.83,277.8086222
BTM-PVBESS,Modeled,4/1/24,5/1/24,349.5200976,-206.1086066,555.448671,139.93,22.3,94.89,12.83,114.14,-101.77,81.03,-72.21,269.4040657
BTM-PVBESS,Modeled,5/1/24,6/1/24,432.06204,-372.9818336,805.1364109,168.36,23,114.03,13.24,139.62,-141.58,99.12,-100.49,302.529643
BTM-PVBESS,Modeled,6/1/24,7/1/24,634.4198951,-206.8368181,840.5278976,241.32,25.95,163.57,13.92,207.11,-77.51,147.23,-55.09,304.2424441
BTM-PVBESS,Modeled,7/1/24,8/1/24,990.9756736,180.0898927,810.8348824,360.85,74.46,244.06,45.97,315.66,42.29,224.41,30.08,310.6509216
BTM-PVBESS,Modeled,8/1/24,9/1/24,1002.511904,238.3049175,763.9855074,367.49,88.65,248.64,55.76,321.98,55.74,228.9,39.64,300.1399512
BTM-PVBESS,Modeled,9/1/24,10/1/24,781.9688079,177.0975531,605.8834855,284.14,60.9,192.16,37.1,245.61,30.98,174.61,22.05,266.8483151
BTM-PVBESS,Modeled,10/1/24,11/1/24,524.6036549,-4.358891653,528.9357642,189.96,26.85,128.54,14.76,157.8,-36.02,112.19,-25.58,260.6135214
BTM-PVBESS,Modeled,11/1/24,12/1/24,351.7347851,42.02991358,309.7412207,130.1,24.44,88.13,13.86,103.52,-37.84,73.6,-26.85,240.4543154
BTM-PVBESS,Modeled,12/1/24,1/1/25,328.8177552,31.4582913,297.2537503,122.31,24.52,82.87,14.12,95.85,-42.52,68.15,-30.18,239.2102256
VNEM,Modeled,1/1/24,2/1/24,267.3135825,14.50130289,252.8122796,89.52,24.57,60.28,15.17,80.92,18.59,57.53,13.2,2.946167202
VNEM,Modeled,2/1/24,3/1/24,244.2821012,-34.53058233,278.8126835,81.64,11.23,54.97,9.3,73.76,4.41,52.44,3.12,6.647032551
VNEM,Modeled,3/1/24,4/1/24,265.6506963,-170.6531204,436.3038167,89.78,11.93,60.37,9.99,81.18,-30.38,57.63,-21.59,17.74297927
VNEM,Modeled,4/1/24,5/1/24,295.4995629,-209.7130337,505.2125966,101.99,11.59,68.65,9.64,92.52,-38.15,65.68,-27.11,25.69579107
VNEM,Modeled,5/1/24,6/1/24,359.9365449,-236.5504203,596.4869651,123.62,12.12,83.2,9.9,112.23,-43.39,79.68,-30.83,35.82130606
VNEM,Modeled,6/1/24,7/1/24,553.5399139,-77.78588288,631.3257968,192.14,14.77,129.64,9.19,175.18,5.34,124.54,3.77,49.80298503
VNEM,Modeled,7/1/24,8/1/24,906.4376648,290.5877976,615.8498672,339.85,133.17,230.18,88.29,312.53,117.69,222.16,83.64,47.96459502
VNEM,Modeled,8/1/24,9/1/24,868.4255482,297.8954709,570.5300773,323.9,135.15,219.33,89.85,297.69,120.03,211.61,85.31,34.73894406
VNEM,Modeled,9/1/24,10/1/24,661.4422757,201.0376189,460.4046568,232.59,97.02,157.04,63.86,212.47,84.5,151.05,60.05,16.39220627
VNEM,Modeled,10/1/24,11/1/24,433.4880153,51.84444015,381.6435752,148.25,45.55,100.02,28.92,134.91,36.85,95.91,26.18,5.067670606
VNEM,Modeled,11/1/24,12/1/24,291.0776782,27.7519326,263.3257456,95.08,29.26,63.99,18.39,85.89,23,61.07,16.34,1.012026941
VNEM,Modeled,12/1/24,1/1/25,284.8911984,65.51592553,219.3752729,92.85,38.04,62.48,24.58,83.81,31.6,59.59,22.45,0.548790781
